text,aspect,label
The materials that came with the computer did not include the right # anywhere.,materials,negative
I bought this notebook and only had it for 3 months If it is overload with updates the BOOT MGR.,BOOT MGR,neutral
"The 2 GB of RAM is plenty, able to run Windows 7 and at least 2 or 3 other programs with next to no slowdown.",Windows 7,positive
  The lcd screen stopped working on mine after 10 months.,lcd screen,negative
BUT there's this application called Boot Camp which allows you to add another OS X like Windows.,Windows,neutral
"Great value, fast delivery- Computer works as if brand new, no problems, very pleased",delivery,positive
"I reloaded with Windows 7 Ultimate, and the Bluetooth and Fingerprint reader (software) would not load.",Windows 7 Ultimate,negative
I love the glass touchpad.,glass touchpad,positive
"The graphics and screen are stunning and although I was a PC person, I was able to understand how to use a mac fairly quickly.",graphics,positive
"The ATI graphics card is a huge plus, definitely a good value if you need to be able to run some slightly older games that a Intel built-in card would have trouble with, such as Half-Life 2 or even World of Warcraft.",games,neutral
"I hope to edit this in the next few hours, I am going to try to install my own copy of Windows 7.",Windows 7,neutral
"the mouse on the pad, the left button always sticks.",mouse on the pad,neutral
This laptop is a great price and has a sleek look.,look,positive
"I use iphoto all the time, which is a great program for anyone who is into photography - amateurs and experts alike.",program,positive
  Dealing with the support drone on the other end of the chat was sheer torture.,support,negative
"WIth the upgraded memory, the MacBook Pro never has an issue running many many applications at once!",running,positive
Games being the main issue.,Games,negative
"Whenever tried to turn it on, it would restart as soon as the BIOS launched Windows (or Winblows, as I like ot call it).",BIOS,negative
can't reinstall with standard os cd because of proprietary hardware drivers.,standard os cd,negative
Battery life could be better but overall for the price and Toshiba's reputation for laptops it's great!,Battery life,negative
"Not sure how I recommend it for quality gaming, as I have a desktop rig for that reason.",gaming,negative
There is no number pad to the right of the keyboard which is a bummer.,keyboard,negative
The notebook is lacking a HDMI port and a S-video port that would enable one to hook it to a TV.,HDMI port,negative
"Obviously one of the most important features of any computer is the ""human interface.",features,neutral
Quality Display  I was surprised with the performance and quality of this HP Laptop.,quality,positive
"Most everything is fine with this machine: speed, capacity, build.",capacity,positive
"The screen is bright and vivid and the keyboard is very easy to use, very important for use quick typers.",screen,positive
This laptop looked brand new and was shipped very quickly.,shipped,positive
That whole experience was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $175 and it was fixed.,mouse,positive
"In addition, all the design tools on Pages and Keynotes makes it much easier to create professional looking documents and presentations.",Pages,positive
"The image is great, and the soud is excelent.",soud,positive
"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.",battery life,negative
