text,aspect,label
Snad i restaurace Na Scestí se jednou dostane na SPRÁVNOU CESTU ! ! !,restaurace,neutral
"Jeden steak byl tuhý a druhý obsahoval asi polovinu jakési nepoživatelné flaksy, za níž by se styděli i v posledním uslintaném bufetu.",flaksy,negative
"zarezervoval jsem si dne 12.10. stůl v imperial cafe u příležitosti 69 narozenin mé matky. obědnal jsem si do předu růže na stůl a po obědě ten nejlepší dort. květina na stole nestála, pro tu po 100 omluvách běžely a dort , na který zřejmě také zapoměly, vypadal hrozně. Koupený nízký korpus, zasypaný zaželírovanými malinami, bez krému, ačíslo 69 napsané čokoládou na talíři. No děs.Fotky mám. Ale abich jen nehanil, jídlo i servis, velmi dobré. Ale to nic nemění na tom, že narozky mé matky nedopadly vůbec tak jak měly. A za 4000 za oběd ve třech, to se stát nesmí. Sice se stokrát omlouvaly, ale co, jako, za ty prachy?",dort,neutral
"To,že pan provozovatel okrádí,je také pravda.",provozovatel,negative
"Panu Novotnému bych jen poradil,pokud je tak nespokojen, aby vyzkoušel třeba jinou restauraci",restauraci,neutral
"Restaurace má opět nového majitele,byli jsme tam teď několikrát zasebou měli jsme i vochery a vše bylo naprosto perfektní,jídlo výborné obsluha na úrovni a všude pořádek jaký už jsem tam dlouho neviděla všem vřele doporučuji.",Restaurace,positive
Salát Insalata Aubergin s obrovským kusem chuťově velmi výrazného kozího sýra se bez pečiva stává spíše utrpením než pochoutkou.,Salát Insalata Aubergin,negative
Jídlo na vouchery nic moc,Jídlo,negative
"nejlepší restaurace v České republice, a co se týče jídla v TOP 10 na 7.místě, asi o něčem svědčí",restaurace,positive
"O jidle jako takovem nemohu rict nic spatneho, svickova mi moc chutnala, ale o prostredi?",jidle,neutral
"Pokud si ten fanda této prasečárny myslí,že jí thajskou kuchyni,tak se plete.",thajskou kuchyni,negative
"Varujeme všechny, kteří by snad chtěli tento ""podnik"" navštívit",podnik,negative
"To co tu jiní píšou obsluze mohu jen podtrhnout, restaurace by měla níst název ČEKÁRNA.",restaurace,negative
"Jestliže si pod (hovězím) steakem představíte stare šlechovite vepřové(!) maso plovoucí v moří tuku v zakouřeném, umaštěném prostředí s obtlstlou arogantní obsluhou, pak je to místo pro Vás",maso,negative
Dnes jsme byli na večeři - slevový voucher steyky + tatarák,tatarák,neutral
"Co se jídla týče, jsou to polotovary, které se válí při dobrém štěstí někde v mrazáku (v horším případě nechladící lednici)",jídla,negative
obsazena plně to mluví za vše a dobré jídlo i pivo,pivo,positive
Nejčastěji chodíme s kamarádkou na křidýlka Kandelábr A k tomu si dáváme višňové víno.,křidýlka Kandelábr,neutral
Těch 200 g bylo asi i s houskou a s brambory.,houskou,neutral
"byl jsem tam s manzelkou na obede pred 3 mesici jidlo studene , slane oblohy vice nez masa",jidlo,negative
"super obsluha,ještě lepší jídlo levné ceny jen doporučuji nic lepšího v dalekém okolí není a ani asi v centru skuste to.",ceny,positive
"Udělali z toho závodní kuchyni - najíst, zaplatit a ahoj",kuchyni,negative
